dataset,file,language,count,percentage
labeled,train_lang.json,en,4531,99.8678
labeled,train_lang.json,fr,4,0.0882
labeled,train_lang.json,da,1,0.022
labeled,train_lang.json,de,1,0.022
labeled,val_lang.json,en,565,99.8233
labeled,val_lang.json,ca,1,0.1767
labeled,test_lang.json,en,560,99.8217
labeled,test_lang.json,de,1,0.1783
labeled,ALL,en,5656,99.8588
labeled,ALL,fr,4,0.0706
labeled,ALL,de,2,0.0353
labeled,ALL,da,1,0.0177
labeled,ALL,ca,1,0.0177
unlabeled,hotel_review1_lang.csv,en,254878,41.9718
unlabeled,hotel_review1_lang.csv,vi,205403,33.8246
unlabeled,hotel_review1_lang.csv,fr,35892,5.9105
unlabeled,hotel_review1_lang.csv,de,28014,4.6132
unlabeled,hotel_review1_lang.csv,es,18372,3.0254
unlabeled,hotel_review1_lang.csv,nl,11071,1.8231
unlabeled,hotel_review1_lang.csv,ko,10750,1.7702
unlabeled,hotel_review1_lang.csv,ja,8074,1.3296
unlabeled,hotel_review1_lang.csv,it,7358,1.2117
unlabeled,hotel_review1_lang.csv,ru,7136,1.1751
unlabeled,hotel_review1_lang.csv,zh,4551,0.7494
unlabeled,hotel_review1_lang.csv,th,2267,0.3733
unlabeled,hotel_review1_lang.csv,pl,2104,0.3465
unlabeled,hotel_review1_lang.csv,da,1688,0.278
unlabeled,hotel_review1_lang.csv,he,1587,0.2613
unlabeled,hotel_review1_lang.csv,pt,1564,0.2576
unlabeled,hotel_review1_lang.csv,cs,1123,0.1849
unlabeled,hotel_review1_lang.csv,sv,1082,0.1782
unlabeled,hotel_review1_lang.csv,ca,834,0.1373
unlabeled,hotel_review1_lang.csv,no,632,0.1041
unlabeled,hotel_review1_lang.csv,uk,412,0.0678
unlabeled,hotel_review1_lang.csv,fi,315,0.0519
unlabeled,hotel_review1_lang.csv,hu,251,0.0413
unlabeled,hotel_review1_lang.csv,ar,218,0.0359
unlabeled,hotel_review1_lang.csv,el,198,0.0326
unlabeled,hotel_review1_lang.csv,tr,189,0.0311
unlabeled,hotel_review1_lang.csv,war,126,0.0207
unlabeled,hotel_review1_lang.csv,id,123,0.0203
unlabeled,hotel_review1_lang.csv,ro,114,0.0188
unlabeled,hotel_review1_lang.csv,sk,91,0.015
unlabeled,hotel_review1_lang.csv,ceb,69,0.0114
unlabeled,hotel_review1_lang.csv,et,61,0.01
unlabeled,hotel_review1_lang.csv,tl,59,0.0097
unlabeled,hotel_review1_lang.csv,lt,56,0.0092
unlabeled,hotel_review1_lang.csv,sl,53,0.0087
unlabeled,hotel_review1_lang.csv,bg,46,0.0076
unlabeled,hotel_review1_lang.csv,hr,44,0.0072
unlabeled,hotel_review1_lang.csv,eu,40,0.0066
unlabeled,hotel_review1_lang.csv,jbo,33,0.0054
unlabeled,hotel_review1_lang.csv,oc,23,0.0038
unlabeled,hotel_review1_lang.csv,br,22,0.0036
unlabeled,hotel_review1_lang.csv,lv,22,0.0036
unlabeled,hotel_review1_lang.csv,eo,19,0.0031
unlabeled,hotel_review1_lang.csv,af,18,0.003
unlabeled,hotel_review1_lang.csv,ms,18,0.003
unlabeled,hotel_review1_lang.csv,lb,18,0.003
unlabeled,hotel_review1_lang.csv,sr,17,0.0028
unlabeled,hotel_review1_lang.csv,la,16,0.0026
unlabeled,hotel_review1_lang.csv,gl,14,0.0023
unlabeled,hotel_review1_lang.csv,cy,13,0.0021
unlabeled,hotel_review1_lang.csv,pms,11,0.0018
unlabeled,hotel_review1_lang.csv,sh,11,0.0018
unlabeled,hotel_review1_lang.csv,nn,10,0.0016
unlabeled,hotel_review1_lang.csv,kv,9,0.0015
unlabeled,hotel_review1_lang.csv,nds,9,0.0015
unlabeled,hotel_review1_lang.csv,kn,8,0.0013
unlabeled,hotel_review1_lang.csv,is,8,0.0013
unlabeled,hotel_review1_lang.csv,gd,8,0.0013
unlabeled,hotel_review1_lang.csv,uz,7,0.0012
unlabeled,hotel_review1_lang.csv,bs,6,0.001
unlabeled,hotel_review1_lang.csv,mg,6,0.001
unlabeled,hotel_review1_lang.csv,fy,6,0.001
unlabeled,hotel_review1_lang.csv,kk,5,0.0008
unlabeled,hotel_review1_lang.csv,ilo,5,0.0008
unlabeled,hotel_review1_lang.csv,ga,5,0.0008
unlabeled,hotel_review1_lang.csv,hi,5,0.0008
unlabeled,hotel_review1_lang.csv,ia,5,0.0008
unlabeled,hotel_review1_lang.csv,ur,4,0.0007
unlabeled,hotel_review1_lang.csv,jv,4,0.0007
unlabeled,hotel_review1_lang.csv,sco,4,0.0007
unlabeled,hotel_review1_lang.csv,ug,3,0.0005
unlabeled,hotel_review1_lang.csv,io,3,0.0005
unlabeled,hotel_review1_lang.csv,ml,3,0.0005
unlabeled,hotel_review1_lang.csv,ku,3,0.0005
unlabeled,hotel_review1_lang.csv,si,3,0.0005
unlabeled,hotel_review1_lang.csv,fa,3,0.0005
unlabeled,hotel_review1_lang.csv,ie,2,0.0003
unlabeled,hotel_review1_lang.csv,su,2,0.0003
unlabeled,hotel_review1_lang.csv,azb,2,0.0003
unlabeled,hotel_review1_lang.csv,gu,2,0.0003
unlabeled,hotel_review1_lang.csv,ast,1,0.0002
unlabeled,hotel_review1_lang.csv,ckb,1,0.0002
unlabeled,hotel_review1_lang.csv,yi,1,0.0002
unlabeled,hotel_review1_lang.csv,vls,1,0.0002
unlabeled,hotel_review1_lang.csv,dv,1,0.0002
unlabeled,hotel_review1_lang.csv,bar,1,0.0002
unlabeled,hotel_review1_lang.csv,lmo,1,0.0002
unlabeled,hotel_review1_lang.csv,diq,1,0.0002
